"pegawai_id","nip","nama_lengkap","jenis_kelamin","umur","kelompok_umur","generasi","tahun_lahir","tahun_masuk","masa_kerja","kelompok_masa_kerja","status_pegawai","jenis_asn","agama","pendidikan","jabatan","jenis_jabatan","golongan","nama_pangkat","instansi","jenis_instansi","provinsi","predikat_kinerja_terakhir","rata_rata_kinerja","jumlah_cuti","pernah_mutasi","tanggal_snapshot"
1,"197705292019108576","dr. Karman Sitorus, S.Sos",P,49,"41 - 50",Gen X (1965-1980),1977,2019,7,"6 - 10",Aktif,PPPK,Islam,S1,Analis Data,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Kepulauan Riau,Daerah,Kepulauan Riau,Baik,81.88,4,false,2026-07-08
2,"196911262007050739",Ir. Samiah Pradana,P,56,"51 - 60",Gen X (1965-1980),1969,2007,19,"16 - 20",Aktif,PNS,Katolik,S1,Pranata Komputer Ahli Muda,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Riau,Daerah,Riau,Baik,82.51,4,false,2026-07-08
3,"196810082015075490",Dr. Kamal Gunawan,P,57,"51 - 60",Gen X (1965-1980),1968,2015,11,"11 - 15",Pensiun,PNS,Islam,S1,Pengawas Ketenagakerjaan,Fungsional,IV/a,Pembina,Kementerian Dalam Negeri,Pusat,DKI Jakarta,Baik,80.85,3,false,2026-07-08
4,"199603132018079608","Hj. Wirda Kusumo, S.Ked",L,30,"21 - 30",Milenial (1981-1996),1996,2018,8,"6 - 10",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Papua Selatan,Daerah,Papua Selatan,Baik,82.91,3,false,2026-07-08
5,"198705202014079393","Raina Wahyuni, S.Ked",L,39,"31 - 40",Milenial (1981-1996),1987,2014,12,"11 - 15",Aktif,PNS,Islam,S1,Kepala Bidang,Struktural,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Papua Barat Daya,Daerah,Papua Barat Daya,Baik,82.17,4,true,2026-07-08
6,"197109222013080094",drg. Jati Agustina,L,54,"51 - 60",Gen X (1965-1980),1971,2013,13,"11 - 15",Aktif,PNS,Kristen,S1,Kepala Bidang,Struktural,IV/a,Pembina,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Cukup,72.18,3,false,2026-07-08
7,"198106012025122833",Gamani Hutapea,P,45,"41 - 50",Milenial (1981-1996),1981,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Kementerian Ketenagakerjaan,Pusat,DKI Jakarta,Baik,83.44,0,false,2026-07-08
8,"200311212025079016",Ulya Agustina,P,22,"21 - 30",Gen Z (1997-2012),2003,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Pranata Komputer Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Barat,Daerah,Kalimantan Barat,Cukup,76.50,1,false,2026-07-08
9,"200012172022019785","Ciaobella Padmasari, M.Pd",P,25,"21 - 30",Gen Z (1997-2012),2000,2022,4,"1 - 5",Aktif,PNS,Islam,S1,Penghulu,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Gorontalo,Daerah,Gorontalo,Baik,82.80,1,false,2026-07-08
10,"197410271997100676","Kania Maheswara, S.H.",P,51,"51 - 60",Gen X (1965-1980),1974,1997,29,"26 - 30",Aktif,PNS,Hindu,S2,Kepala Dinas,Struktural,II/b,Pengatur Muda Tingkat I,Kementerian Luar Negeri,Pusat,DKI Jakarta,Cukup,74.66,6,true,2026-07-08
11,"200207012024032036","Mutia Nasyiah, S.Ked",L,24,"21 - 30",Gen Z (1997-2012),2002,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Pustakawan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Gorontalo,Daerah,Gorontalo,Cukup,79.18,2,false,2026-07-08
