"pegawai_id","nip","nama_lengkap","tempat_lahir","tanggal_lahir","jenis_kelamin","jenis_asn","agama_id","pendidikan_terakhir_id","instansi_id","jabatan_id","pangkat_id","tanggal_masuk","status_pegawai","alamat","created_at","updated_at"
1,"197705292019108576","dr. Karman Sitorus, S.Sos",Jakarta,1977-05-29,P,PPPK,1,4,15,12,8,2019-10-27,Aktif,"Jalan Gardujati No. 19, Batam, SS 16186",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
2,"196911262007050739",Ir. Samiah Pradana,Padang,1969-11-26,P,PNS,3,4,14,11,8,2007-05-09,Aktif,"Jalan Ahmad Dahlan No. 92, Palembang, Riau 71588",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
3,"196810082015075490",Dr. Kamal Gunawan,Padang,1968-10-08,P,PNS,1,4,2,23,9,2015-07-18,Pensiun,"Gang Medokan Ayu No. 717, Surabaya, SU 21705",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
4,"199603132018079608","Hj. Wirda Kusumo, S.Ked",Palembang,1996-03-13,L,PNS,1,4,44,16,2,2018-07-09,Aktif,"Jl. Setiabudhi No. 2, Sorong, Sumatera Selatan 01794",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
5,"198705202014079393","Raina Wahyuni, S.Ked",Denpasar,1987-05-20,L,PNS,1,4,47,3,6,2014-07-04,Aktif,"Jl. Cihampelas No. 27, Banda Aceh, Banten 16857",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
6,"197109222013080094",drg. Jati Agustina,Bogor,1971-09-22,L,PNS,2,4,25,3,9,2013-08-05,Aktif,"Gang Erlangga No. 15, Prabumulih, GO 07119",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
7,"198106012025122833",Gamani Hutapea,Bogor,1981-06-01,P,PNS,1,4,10,5,8,2025-12-23,Aktif,"Jalan Ronggowarsito No. 2, Semarang, RI 54001",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
8,"200311212025079016",Ulya Agustina,Palembang,2003-11-21,P,PNS,1,4,29,11,2,2025-07-20,Aktif,"Gang Veteran No. 3, Solok, AC 69485",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
9,"200012172022019785","Ciaobella Padmasari, M.Pd",Padang,2000-12-17,P,PNS,1,4,35,22,2,2022-01-08,Aktif,"Gg. Antapani Lama No. 133, Pagaralam, Banten 90951",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
10,"197410271997100676","Kania Maheswara, S.H.",Tasikmalaya,1974-10-27,P,PNS,4,5,3,1,2,1997-10-08,Aktif,"Jalan Dr. Djunjunan No. 2, Tangerang, Jambi 76787",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
11,"200207012024032036","Mutia Nasyiah, S.Ked",Bandung,2002-07-01,L,PNS,1,4,35,17,2,2024-03-21,Aktif,"Jalan W.R. Supratman No. 4, Batam, SU 03543",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
12,"199911132022068788",R. Zulfa Rajasa,Bekasi,1999-11-13,L,PNS,1,4,26,17,2,2022-06-08,Aktif,"Gg. Kutai No. 1, Kota Administrasi Jakarta Selatan, Nusa Tenggara Barat 87650",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
13,"199310172015116874",Harja Hakim,Medan,1993-10-17,L,PNS,1,4,27,1,2,2015-11-13,Aktif,"Jalan Pelajar Pejuang No. 309, Parepare, Kepulauan Bangka Belitung 26306",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
14,"198510192018029189",Baktianto Yulianti,Denpasar,1985-10-19,L,PNS,2,4,45,18,8,2018-02-22,Aktif,"Jalan Pasteur No. 9, Palangkaraya, Kalimantan Tengah 00680",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
15,"200403302026066973","Tgk. Victoria Narpati, S.I.Kom",Makassar,2004-03-30,P,PPPK,1,4,1,20,1,2026-06-17,Aktif,"Gg. Cikapayang No. 39, Kupang, YO 60484",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
16,"196805242026072480","R.A. Ade Situmorang, S.Gz",Bekasi,1968-05-24,L,PNS,1,5,26,9,10,2026-07-04,Pensiun,"Gang Kendalsari No. 2, Palopo, Papua 39725",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
17,"196911021999066350",Kunthara Firgantoro,Denpasar,1969-11-02,L,PNS,1,4,35,23,6,1999-06-08,Aktif,"Jalan Veteran No. 171, Batu, Nusa Tenggara Timur 68396",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
18,"199801312026010836",drg. Intan Utami,Cirebon,1998-01-31,P,PNS,2,4,20,22,5,2026-01-26,Aktif,"Gg. Raya Ujungberung No. 127, Metro, Jawa Timur 58383",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
19,"196905311999065538",Mujur Mustofa,Jakarta,1969-05-31,P,PNS,1,4,10,4,5,1999-06-18,Aktif,"Jl. Ciwastra No. 35, Tarakan, JI 23103",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
20,"199301292021114741",Clara Lailasari,Denpasar,1993-01-29,P,PPPK,1,2,23,19,5,2021-11-19,Aktif,"Jl. Rungkut Industri No. 04, Mojokerto, BB 46792",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
21,"199511232024027500","Jasmin Sihombing, S.IP",Depok,1995-11-23,P,PPPK,1,4,3,14,6,2024-02-12,Aktif,"Gg. Jend. A. Yani No. 169, Sukabumi, KI 38693",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
22,"199610262020126806",Intan Waskita,Palembang,1996-10-26,L,PNS,1,5,25,6,2,2020-12-06,Aktif,"Gg. Dipatiukur No. 9, Kotamobagu, SU 09750",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
23,"199506142025038968","Simon Prakasa, S.Sos",Semarang,1995-06-14,L,PNS,1,4,22,17,6,2025-03-02,Aktif,"Jl. Ir. H. Djuanda No. 809, Kota Administrasi Jakarta Utara, GO 65029",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
24,"197406272011034157",Zulfa Anggraini,Cirebon,1974-06-27,L,PNS,1,4,31,3,7,2011-03-07,Aktif,"Jalan S. Parman No. 382, Kendari, JA 95108",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
25,"199312122020064804",Ellis Palastri,Makassar,1993-12-12,P,PNS,1,4,4,15,6,2020-06-18,Aktif,"Jl. PHH. Mustofa No. 316, Pariaman, Kalimantan Utara 92942",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
26,"199609232018054049",Eja Anggraini,Yogyakarta,1996-09-23,L,PNS,1,2,33,13,1,2018-05-05,Aktif,"Jl. Yos Sudarso No. 8, Mataram, Kalimantan Barat 16878",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
27,"199811082025070831",Vanesa Wahyudin,Jakarta,1998-11-08,P,PNS,1,4,46,17,6,2025-07-02,Aktif,"Jl. Ahmad Yani No. 0, Tual, BT 38785",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
28,"197211252007073083","Rama Firgantoro, S.H.",Padang,1972-11-25,P,PNS,1,5,47,19,7,2007-07-14,Aktif,"Jalan Antapani Lama No. 28, Depok, KB 22010",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
29,"197406142001049693",Rafid Narpati,Bandung,1974-06-14,L,PNS,3,4,17,9,6,2001-04-24,Aktif,"Gg. Jamika No. 618, Subulussalam, Maluku Utara 16830",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
30,"200303162026033392",Adinata Marpaung,Yogyakarta,2003-03-16,P,PNS,1,4,9,17,2,2026-03-25,Aktif,"Gang Pasteur No. 885, Pematangsiantar, Sumatera Barat 93357",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
31,"198909162016020939","R. Samiah Putra, S.Pd",Padang,1989-09-16,L,PNS,1,4,39,12,6,2016-02-05,Aktif,"Jl. Rajawali Timur No. 003, Kota Administrasi Jakarta Pusat, Sulawesi Utara 07522",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
32,"196607122007111844","R.A. Ifa Sitompul, S.Pt",Solo,1966-07-12,L,PNS,1,4,8,2,8,2007-11-17,Aktif,"Jalan Jend. Sudirman No. 1, Solok, Papua Barat 50453",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
33,"197810222011034575",Darman Simanjuntak,Tasikmalaya,1978-10-22,P,PNS,1,4,26,5,7,2011-03-07,Aktif,"Gang Monginsidi No. 7, Bekasi, BE 87921",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
34,"197208031997073642","R.M. Dagel Rajasa, S.T.",Depok,1972-08-03,P,PNS,1,4,10,17,2,1997-07-25,Aktif,"Jl. Otto Iskandardinata No. 0, Payakumbuh, GO 32658",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
35,"199601042023033826","Drs. Raisa Natsir, M.Ak",Jakarta,1996-01-04,P,PNS,1,5,11,16,6,2023-03-03,Aktif,"Jalan S. Parman No. 773, Sibolga, JA 68137",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
36,"197011212010058755",Ir. Rika Hutagalung,Cirebon,1970-11-21,L,PPPK,1,5,13,7,8,2010-05-23,Aktif,"Jl. PHH. Mustofa No. 931, Bima, Banten 76849",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
37,"196902181994126055",Lega Tamba,Denpasar,1969-02-18,P,PNS,1,5,25,2,1,1994-12-07,Pensiun,"Gang W.R. Supratman No. 184, Semarang, BE 98951",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
